iter	Passed	Remaining
0	156	78146
1	160	39941
2	163	27101
3	166	20671
4	169	16813
5	173	14277
6	178	12597
7	182	11247
8	187	10207
9	192	9418
10	196	8719
11	199	8109
12	203	7605
13	207	7200
14	211	6824
15	215	6505
16	219	6233
17	226	6065
18	233	5900
19	237	5699
20	244	5584
21	248	5397
22	254	5279
23	259	5144
24	264	5023
25	268	4903
26	272	4774
27	275	4651
28	279	4532
29	282	4424
30	285	4325
31	289	4228
32	292	4140
33	295	4049
34	298	3968
35	302	3898
36	305	3822
37	308	3748
38	311	3678
39	314	3613
40	317	3552
41	320	3492
42	323	3434
43	326	3385
44	330	3336
45	332	3286
46	335	3236
47	338	3188
48	341	3142
49	344	3096
50	346	3054
51	349	3012
52	352	2973
53	355	2936
54	358	2899
55	361	2866
56	364	2832
57	367	2796
58	369	2764
59	372	2731
60	375	2700
61	378	2671
62	380	2642
63	383	2613
64	386	2586
65	389	2561
66	392	2535
67	395	2512
68	398	2486
69	400	2462
70	403	2438
71	406	2415
72	409	2393
73	412	2372
74	414	2351
75	417	2329
76	420	2309
77	423	2291
78	426	2272
79	429	2254
80	432	2237
81	434	2216
82	438	2203
83	441	2188
84	444	2170
85	447	2154
86	450	2136
87	453	2124
88	456	2109
89	459	2093
90	462	2079
91	465	2063
92	468	2049
93	471	2035
94	474	2020
95	476	2006
96	479	1992
97	482	1978
98	485	1964
99	487	1951
100	490	1938
101	493	1925
102	496	1913
103	499	1900
104	502	1889
105	504	1876
106	507	1865
107	510	1853
108	513	1841
109	516	1831
110	520	1823
111	522	1811
112	525	1801
113	528	1790
114	532	1781
115	535	1772
116	538	1762
117	541	1751
118	543	1741
119	546	1731
120	549	1721
121	552	1711
122	555	1702
123	557	1691
124	560	1681
125	563	1672
126	566	1662
127	568	1652
128	571	1643
129	574	1634
130	577	1626
131	579	1616
132	582	1606
133	584	1597
134	587	1588
135	590	1579
136	592	1571
137	595	1562
138	598	1554
139	601	1545
140	604	1537
141	606	1529
142	609	1521
143	612	1513
144	614	1505
145	617	1497
146	620	1489
147	622	1481
148	625	1474
149	628	1467
150	632	1462
151	635	1454
152	638	1447
153	641	1441
154	644	1434
155	647	1427
156	650	1420
157	652	1413
158	655	1406
159	658	1399
160	661	1392
161	664	1385
162	666	1378
163	669	1371
164	672	1365
165	675	1358
166	677	1351
167	680	1344
168	683	1337
169	686	1332
170	689	1325
171	691	1319
172	694	1313
173	697	1306
174	700	1301
175	703	1294
176	706	1288
177	708	1282
178	711	1276
179	714	1270
180	717	1264
181	720	1258
182	723	1252
183	725	1246
184	728	1241
185	732	1236
186	736	1232
187	739	1226
188	742	1221
189	745	1216
190	748	1210
191	750	1204
192	753	1198
193	756	1192
194	758	1186
195	761	1180
196	764	1175
197	767	1170
198	770	1164
199	772	1158
200	775	1153
201	778	1147
202	780	1142
203	783	1136
204	786	1131
